param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_228_pop_0,944.55,1.000
q_ind_229_pop_0,3094.74,1.001
q_ind_230_pop_0,3477.71,1.000
q_ind_231_pop_0,2128.53,1.000
q_ind_232_pop_0,1062.95,1.000
q_ind_233_pop_0,370.82,1.005
q_ind_234_pop_0,4516.71,1.000
q_ind_235_pop_0,6719.90,1.000
q_ind_236_pop_0,2650.55,1.000
q_ind_237_pop_0,5062.80,1.000
q_ind_238_pop_0,3755.68,1.000
q_ind_239_pop_0,5279.63,1.000
q_ind_240_pop_0,2068.47,1.001
q_ind_241_pop_0,1366.76,1.002
q_ind_242_pop_0,2561.46,1.000
q_ind_243_pop_0,185.49,1.005
q_ind_244_pop_0,187.95,1.002
q_ind_245_pop_0,879.49,1.002
q_ind_246_pop_0,92.27,1.006
q_ind_247_pop_0,42.76,1.013
q_ind_248_pop_0,4203.68,1.000
q_ind_249_pop_0,319.24,1.007
q_ind_250_pop_0,5795.43,1.000
q_ind_251_pop_0,4405.16,1.001
q_ind_252_pop_0,5118.92,1.000
q_ind_253_pop_0,7107.40,1.000
q_ind_254_pop_0,313.91,1.000
q_ind_255_pop_0,984.75,1.000
q_ind_256_pop_0,5300.17,1.000
q_ind_257_pop_0,4732.70,1.000
q_ind_258_pop_0,164.37,1.005
q_ind_259_pop_0,3313.92,1.000
q_ind_260_pop_0,1441.66,1.001
q_ind_261_pop_0,5125.15,1.000
q_ind_262_pop_0,1198.94,1.002
q_ind_263_pop_0,1812.58,1.000
q_ind_264_pop_0,3354.08,1.000
q_ind_265_pop_0,3247.52,1.000
q_ind_266_pop_0,361.47,1.001
q_ind_267_pop_0,5902.78,1.000
q_ind_268_pop_0,5199.80,1.000
q_ind_269_pop_0,7048.53,1.001
q_ind_270_pop_0,3138.89,1.000
q_ind_271_pop_0,6702.01,1.000
q_ind_272_pop_0,1260.21,1.000
q_ind_273_pop_0,1519.35,1.000
q_ind_274_pop_0,3973.03,1.001
q_ind_275_pop_0,2035.55,1.001
q_ind_276_pop_0,4072.81,1.000
q_ind_277_pop_0,2591.78,1.000
q_ind_278_pop_0,2718.05,1.001
q_ind_279_pop_0,2148.97,1.000
q_ind_280_pop_0,1262.16,1.006
q_ind_281_pop_0,3948.13,1.001
q_ind_282_pop_0,2817.86,1.000
q_ind_283_pop_0,614.31,1.010
q_ind_284_pop_0,3448.70,1.000
q_ind_285_pop_0,3534.15,1.000
q_ind_286_pop_0,2351.48,1.000
q_ind_287_pop_0,3317.03,1.001
q_ind_288_pop_0,2980.64,1.000
q_ind_289_pop_0,93.80,1.011
q_ind_290_pop_0,3258.01,1.001
q_ind_291_pop_0,3085.16,1.000
q_ind_292_pop_0,2371.97,1.000
q_ind_293_pop_0,1623.03,1.002
q_ind_294_pop_0,405.08,1.005
q_ind_295_pop_0,2106.14,1.000
q_ind_296_pop_0,3730.79,1.000
q_ind_297_pop_0,119.51,1.018
q_ind_298_pop_0,574.38,1.005
q_ind_299_pop_0,3777.68,1.000
q_ind_300_pop_0,2028.47,1.001
q_ind_301_pop_0,1532.88,1.002
q_ind_302_pop_0,4002.03,1.000
q_ind_303_pop_0,622.07,1.005
q_ind_304_pop_0,1609.92,1.002
q_ind_305_pop_0,714.46,1.004
q_ind_306_pop_0,4117.62,1.000
q_ind_307_pop_0,521.55,1.004
q_ind_308_pop_0,1689.31,1.001
q_ind_309_pop_0,907.04,1.000
q_ind_310_pop_0,3062.19,1.001
q_ind_311_pop_0,775.95,1.000
q_ind_312_pop_0,1913.48,1.001
q_ind_313_pop_0,1558.97,1.001
q_ind_314_pop_0,2056.95,1.000
